"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4649","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","6.956723","0","13"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","4","1","16.525076","0","44"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","6.565129","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","3","1","9.924067","0","21"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","3","1","13.764437","0","25"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","10.856320","0","11"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","30.693777","0","172"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","7.799809","0","19"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","6.411445","0","19"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","13.486953","0","89"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","7.243289","0","19"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","7.876501","0","19"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","7.587347","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","4","1","56.953117","0","424"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","5","1","24.059278","0","104"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","5.201781","0","13"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","272.252197","0","10334"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","2","1","143.448639","0","2370"
"/Game/Core/Assets/Props/Pizzas/Pizza02/Black.Black","0","23","1","1","45.516602","0","278"
